revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_e1232e0_a93f3a4/rev_e1232e0-a93f3a4.revisions;614;295;0;295;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ee8c6ea_71fb642/rev_ee8c6ea-71fb642.revisions;640;321;0;321;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6d16499_4c86795/rev_6d16499-4c86795.revisions;640;321;0;321;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c855412_1cf8d00/rev_c855412-1cf8d00.revisions;641;322;0;322;2;319;318;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f0affeb_b1a8667/rev_f0affeb-b1a8667.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a96602a_22b7ac5/rev_a96602a-22b7ac5.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6faa1f8_3df88ef/rev_6faa1f8-3df88ef.revisions;641;322;0;322;2;319;318;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0631899_2d70a39/rev_0631899-2d70a39.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ed98538_219ef7b/rev_ed98538-219ef7b.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_b46b0b6_299c87e/rev_b46b0b6-299c87e.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_4cba52d_677afc6/rev_4cba52d-677afc6.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_1b2f114_900a8da/rev_1b2f114-900a8da.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_029ca1f_5f70ea8/rev_029ca1f-5f70ea8.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_39ab2a3_05159b5/rev_39ab2a3-05159b5.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_3f9f613_1c8442a/rev_3f9f613-1c8442a.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
